id,set_id,localId,name,set_name,grade,price,sold_date,title,set_phrase_from_title,set_match_name,set_match_score
sv03-223,sv03,223,Charizard ex,Obsidian Flames,ACE 10,£312.70,Sold 6 Jun 2026,2023 Charizard EX 223/197 Obsidian Flames SIR - ACE 10 Perfect Subgrades,Obsidian Flames SIR -,Obsidian Flames,0.882
sm115-44,sm115,44,Moltres & Zapdos & Articuno GX,Hidden Fates,ACE 10,£80.00,Sold 6 Jun 2026,Moltres Zapdos Articuno GX 44/68 Hidden Fates Ace 10,Hidden Fates Ace 10,Hidden Fates,0.774
me02-056,me02,56,Mega Gengar ex,Phantasmal Flames,ACE 10,£28.99,Sold 6 Jun 2026,Mega Gengar ex 056/094 Phantasmal Flames ACE 10 Gem Mint Perfect Subgrades,Phantasmal Flames ACE 10,Phantasmal Flames,0.829
me02-106,me02,106,Meowth,Phantasmal Flames,ACE 10,£65.00,Sold 6 Jun 2026,Meowth Illustration Rare Graded ACE 10 💎 106/094 Phantasmal Flames PFL Art IR,Phantasmal Flames PFL Art,Phantasmal Flames,0.81
bw2-97,bw2,97,Thundurus,Emerging Powers,ACE 9,£28.35,Sold 6 Jun 2026,Pokemon TCG Thundurus Full Art 97/98 Emerging Powers Ace 9,Emerging Powers Ace 9,Emerging Powers,0.833
me02-013,me02,13,Mega Charizard X ex,Phantasmal Flames,ACE 10,£36.06,Sold 6 Jun 2026,Mega Charizard X EX 013/094 Me02: Phantasmal Flames Ace 10 PERFECT SUBGRADES,Me02: Phantasmal Flames Ace,Phantasmal Flames,0.791
me02.5-284,me02.5,284,Mega Gengar ex,Ascended Heroes,ACE 10,"£1,179.70",Sold 6 Jun 2026,Pokémon TCG Mega Gengar EX 284/217 SIR Ascended Heroes ACE 10,SIR Ascended Heroes ACE,Ascended Heroes,0.789
xy12-102,xy12,102,M Blastoise EX,Evolutions,ACE 10,£220.00,Sold 6 Jun 2026,M Blastoise EX 102/108 - 2016 Evolutions - ACE 10,- Evolutions - ACE,Evolutions,0.8
me02.5-269,me02.5,269,Mega Gengar ex,Ascended Heroes,ACE 10,£119.00,Sold 6 Jun 2026,Mega Gengar - 269/217 - Ascended Heroes - MAR - ACE 10 Gem Mint,- Ascended Heroes -,Ascended Heroes,1.0
swsh10.5-087,swsh10.5,87,Egg Incubator,Pokémon GO,ACE 10,£105.00,Sold 6 Jun 2026,Ace 10 Mega Gardevoir EX Japanese Mega Symphonia - 087/063 - Pokémon TCG,- Pokémon TCG,Pokémon GO,0.842
